epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.49335,1.6632,2.43617,1.55626,0.5404,0.44684,0.42749,0.2081,1.58275,2.21907,1.51253,0.000550749,0.000550749,0.000550749
2,10.2186,1.60126,1.90725,1.45141,0.60781,0.55312,0.54855,0.24934,1.71891,1.96365,1.59551,0.00110094,0.00110094,0.00110094
3,14.8762,1.62284,1.82481,1.46661,0.50653,0.45034,0.47622,0.21539,1.99597,1.95249,1.8855,0.00164563,0.00164563,0.00164563
4,19.5199,1.6055,1.68403,1.44531,0.55476,0.59066,0.59468,0.31276,1.63441,1.58594,1.59022,0.00164225,0.00164225,0.00164225
5,24.1215,1.56465,1.58152,1.41909,0.71974,0.58237,0.65147,0.33945,1.60392,1.41552,1.50448,0.00163399,0.00163399,0.00163399
6,28.7048,1.5732,1.54169,1.41385,0.69304,0.60389,0.6807,0.38115,1.55099,1.34186,1.4746,0.00162574,0.00162574,0.00162574
7,33.2587,1.51494,1.43337,1.39454,0.80717,0.59344,0.68652,0.38247,1.58115,1.32878,1.47241,0.00161749,0.00161749,0.00161749
8,37.8518,1.51304,1.40362,1.3575,0.68299,0.59513,0.62681,0.33949,1.64415,1.4227,1.53419,0.00160924,0.00160924,0.00160924
9,42.4448,1.5013,1.34488,1.36747,0.72966,0.61114,0.68309,0.37007,1.55139,1.28828,1.48501,0.00160099,0.00160099,0.00160099
10,47.0002,1.51696,1.32987,1.36663,0.64502,0.63974,0.68096,0.35563,1.62635,1.34862,1.52417,0.00159274,0.00159274,0.00159274
11,51.5832,1.47634,1.29394,1.35931,0.73752,0.57674,0.68113,0.3686,1.56333,1.33148,1.46251,0.00158448,0.00158448,0.00158448
12,56.1314,1.44813,1.25664,1.33653,0.76835,0.65101,0.71151,0.3942,1.53386,1.16192,1.43707,0.00157623,0.00157623,0.00157623
13,60.6837,1.47033,1.25365,1.34976,0.66595,0.66467,0.69125,0.36965,1.57983,1.34198,1.45825,0.00156798,0.00156798,0.00156798
